F A64L.3;1                          	a64l.3
F ABORT.3;1                         	abort.3
F ABS.3;1                           	abs.3
F ACOS.3M;1                         	acos.3m
F ACOSH.3M;1                        	acosh.3m
F ADDCH.3V;1                        	addch.3v
F ADDCH.3X;1                        	addch.3x
F ADDEXPOR.3;1                      	addexportent.3
F ADDMNTEN.3;1                      	addmntent.3
F ADDSTR.3V;1                       	addstr.3v
F ADDSTR.3X;1                       	addstr.3x
F AGT_CREA.3L;1                     	agt_create.3l
F AGT_ENUM.3L;1                     	agt_enumerate.3l
F AGT_TRAP.3L;1                     	agt_trap.3l
F AINT.3M;1                         	aint.3m
F AIOCANCE.3;1                      	aiocancel.3
F AIOREAD.3;1                       	aioread.3
F AIOWAIT.3;1                       	aiowait.3
F AIOWRITE.3;1                      	aiowrite.3
F ALARM.3C;1                        	alarm.3c
F ALARM.3V;1                        	alarm.3v
F ALLOCA.3;1                        	alloca.3
F ALPHASOR.3;1                      	alphasort.3
F ANINT.3M;1                        	anint.3m
F ANNUITY.3M;1                      	annuity.3m
F ARC.3X;1                          	arc.3x
F ASCTIME.3;1                       	asctime.3
F ASCTIME.3V;1                      	asctime.3v
F ASIN.3M;1                         	asin.3m
F ASINH.3M;1                        	asinh.3m
F ASSERT.3V;1                       	assert.3v
F ATAN.3M;1                         	atan.3m
F ATAN2.3M;1                        	atan2.3m
F ATANH.3M;1                        	atanh.3m
F ATOF.3;1                          	atof.3
F ATOI.3;1                          	atoi.3
F ATOL.3;1                          	atol.3
F ATTROFF.3V;1                      	attroff.3v
F ATTRON.3V;1                       	attron.3v
F ATTRSET.3V;1                      	attrset.3v
F AUDIT.3;1                         	audit.3
F AUDIT_AR.3;1                      	audit_args.3
F AUDIT_TE.3;1                      	audit_text.3
F AUTHDES_.000;1                    	authdes_create.3n
F AUTHDES_.001;1                    	authdes_getcred.3n
F AUTHDES_.3N;1                     	authdes_getucred.3n
F AUTHNONE.3N;1                     	authnone_create.3n
F AUTHUNIX.000;1                    	authunix_create.3n
F AUTHUNIX.3N;1                     	authunix_create_default.3n
F AUTH_DES.3N;1                     	auth_destroy.3n
F BAUDRATE.3V;1                     	baudrate.3v
F BCMP.3;1                          	bcmp.3
F BCOPY.3;1                         	bcopy.3
F BEEP.3V;1                         	beep.3v
F BESSEL.3M;1                       	bessel.3m
F BINDRESV.3N;1                     	bindresvport.3n
F BOOTPARA.3R;1                     	bootparam.3r
F BOX.3V;1                          	box.3v
F BOX.3X;1                          	box.3x
F BSEARCH.3;1                       	bsearch.3
F BSTRING.3;1                       	bstring.3
F BYTEORDE.3N;1                     	byteorder.3n
F BZERO.3;1                         	bzero.3
F CABS.3M;1                         	cabs.3m
F CALLOC.3;1                        	calloc.3
F CALLRPC.3N;1                      	callrpc.3n
F CATCLOSE.3C;1                     	catclose.3c
F CATGETMS.3C;1                     	catgetmsg.3c
F CATGETS.3C;1                      	catgets.3c
F CATOPEN.3C;1                      	catopen.3c
F CBREAK.3V;1                       	cbreak.3v
F CBRT.3M;1                         	cbrt.3m
F CEIL.3M;1                         	ceil.3m
F CFGETISP.3V;1                     	cfgetispeed.3v
F CFGETOSP.3V;1                     	cfgetospeed.3v
F CFREE.3;1                         	cfree.3
F CFSETISP.3V;1                     	cfsetispeed.3v
F CFSETOSP.3V;1                     	cfsetospeed.3v
F CHECK.3L;1                        	CHECK.3l
F CIRCLE.3X;1                       	circle.3x
F CLASS.3M;1                        	class.3m
F CLEAR.3V;1                        	clear.3v
F CLEAR.3X;1                        	clear.3x
F CLEARERR.3S;1                     	clearerr.3s
F CLEARERR.3V;1                     	clearerr.3v
F CLEAROK.3V;1                      	clearok.3v
F CLEAROK.3X;1                      	clearok.3x
F CLNTRAW_.3N;1                     	clntraw_create.3n
F CLNTTCP_.3N;1                     	clnttcp_create.3n
F CLNTUDP_.000;1                    	clntudp_bufcreate.3n
F CLNTUDP_.3N;1                     	clntudp_create.3n
F CLNT_BRO.3N;1                     	clnt_broadcast.3n
F CLNT_CAL.3N;1                     	clnt_call.3n
F CLNT_CON.3N;1                     	clnt_control.3n
F CLNT_CRE.000;1                    	clnt_create.3n
F CLNT_CRE.3N;1                     	clnt_create_vers.3n
F CLNT_DES.3N;1                     	clnt_destroy.3n
F CLNT_FRE.3N;1                     	clnt_freeres.3n
F CLNT_GET.3N;1                     	clnt_geterr.3n
F CLNT_PCR.3N;1                     	clnt_pcreateerror.3n
F CLNT_PER.000;1                    	clnt_perrno.3n
F CLNT_PER.3N;1                     	clnt_perror.3n
F CLNT_SPC.3N;1                     	clnt_spcreateerror.3n
F CLNT_SPE.000;1                    	clnt_sperrno.3n
F CLNT_SPE.3N;1                     	clnt_sperror.3n
F CLOCK.3C;1                        	clock.3c
F CLOSEDIR.3V;1                     	closedir.3v
F CLOSELOG.3;1                      	closelog.3
F CLOSEPL.3X;1                      	closepl.3x
F CLRTOBOT.3V;1                     	clrtobot.3v
F CLRTOBOT.3X;1                     	clrtobot.3x
F CLRTOEOL.3V;1                     	clrtoeol.3v
F CLRTOEOL.3X;1                     	clrtoeol.3x
F COMPOUND.3M;1                     	compound.3m
F CONT.3X;1                         	cont.3x
F CONTROL.3;1                       	control.3
F CONV.3V;1                         	conv.3v
F COPYSIGN.3M;1                     	copysign.3m
F COS.3M;1                          	cos.3m
F COSH.3M;1                         	cosh.3m
F CRMODE.3X;1                       	crmode.3x
F CTERMID.3S;1                      	ctermid.3s
F CTERMID.3V;1                      	ctermid.3v
F CTIME.3V;1                        	ctime.3v
F CTYPE.3V;1                        	ctype.3v
F CURSES.3V;1                       	curses.3v
F CURSES.3X;1                       	curses.3x
F CURSES_F.3V;1                     	curses_functions.3v
F CURSES_F.3X;1                     	curses_functions.3x
F CUSERID.3S;1                      	cuserid.3s
F CUSERID.3V;1                      	cuserid.3v
F CV_BROAD.3L;1                     	cv_broadcast.3l
F CV_CREAT.3L;1                     	cv_create.3l
F CV_DESTR.3L;1                     	cv_destroy.3l
F CV_ENUME.3L;1                     	cv_enumerate.3l
F CV_NOTIF.3L;1                     	cv_notify.3l
F CV_SEND.3L;1                      	cv_send.3l
F CV_WAIT.3L;1                      	cv_wait.3l
F CV_WAITE.3L;1                     	cv_waiters.3l
F DBM.3X;1                          	dbm.3x
F DBMCLOSE.3X;1                     	dbmclose.3x
F DBMINIT.3X;1                      	dbminit.3x
F DBM_CLEA.3;1                      	dbm_clearerr.3
F DBM_CLOS.3;1                      	dbm_close.3
F DBM_DELE.3;1                      	dbm_delete.3
F DBM_ERRO.3;1                      	dbm_error.3
F DBM_FETC.3;1                      	dbm_fetch.3
F DBM_FIRS.3;1                      	dbm_firstkey.3
F DBM_NEXT.3;1                      	dbm_nextkey.3
F DBM_OPEN.3;1                      	dbm_open.3
F DBM_STOR.3;1                      	dbm_store.3
F DECIMAL_.000;1                    	decimal_to_double.3
F DECIMAL_.001;1                    	decimal_to_extended.3
F DECIMAL_.002;1                    	decimal_to_floating.3
F DECIMAL_.3;1                      	decimal_to_single.3
F DELAY_OU.3V;1                     	delay_output.3v
F DELCH.3V;1                        	delch.3v
F DELCH.3X;1                        	delch.3x
F DELETE.3X;1                       	delete.3x
F DELETELN.3V;1                     	deleteln.3v
F DELETELN.3X;1                     	deleteln.3x
F DELWIN.3V;1                       	delwin.3v
F DELWIN.3X;1                       	delwin.3x
F DIRECTOR.3V;1                     	directory.3v
F DLCLOSE.3X;1                      	dlclose.3x
F DLERROR.3X;1                      	dlerror.3x
F DLOPEN.3X;1                       	dlopen.3x
F DLSYM.3X;1                        	dlsym.3x
F DN_COMP.3;1                       	dn_comp.3
F DN_EXPAN.3;1                      	dn_expand.3
F DOUBLE_T.3;1                      	double_to_decimal.3
F DOUPDATE.3V;1                     	doupdate.3v
F DRAND48.3;1                       	drand48.3
F DRAND48.EQN;1                     	drand48.eqn
F DYSIZE.3;1                        	dysize.3
F DYSIZE.3V;1                       	dysize.3v
F ECHO.3V;1                         	echo.3v
F ECHO.3X;1                         	echo.3x
F ECONVERT.3;1                      	econvert.3
F ECVT.3;1                          	ecvt.3
F EDATA.3;1                         	edata.3
F END.3;1                           	end.3
F ENDAC.3;1                         	endac.3
F ENDEXPOR.3;1                      	endexportent.3
F ENDFSENT.3;1                      	endfsent.3
F ENDGRAEN.3;1                      	endgraent.3
F ENDGRENT.3V;1                     	endgrent.3v
F ENDHOSTE.3N;1                     	endhostent.3n
F ENDMNTEN.3;1                      	endmntent.3
F ENDNETEN.3N;1                     	endnetent.3n
F ENDNETGR.3N;1                     	endnetgrent.3n
F ENDPROTO.3N;1                     	endprotoent.3n
F ENDPWAEN.3;1                      	endpwaent.3
F ENDPWENT.3V;1                     	endpwent.3v
F ENDRPCEN.3N;1                     	endrpcent.3n
F ENDSERVE.3N;1                     	endservent.3n
F ENDTTYEN.3;1                      	endttyent.3
F ENDUSERS.3;1                      	endusershell.3
F ENDWIN.3V;1                       	endwin.3v
F ENDWIN.3X;1                       	endwin.3x
F ENVIRON.3;1                       	environ.3
F ERAND48.3;1                       	erand48.3
F ERASE.3V;1                        	erase.3v
F ERASE.3X;1                        	erase.3x
F ERASECHA.3V;1                     	erasechar.3v
F ERF.3M;1                          	erf.3m
F ERFC.3M;1                         	erfc.3m
F ERRNO.3;1                         	errno.3
F ETEXT.3;1                         	etext.3
F ETHER.3R;1                        	ether.3r
F ETHERS.3N;1                       	ethers.3n
F ETHER_AT.3N;1                     	ether_aton.3n
F ETHER_HO.3N;1                     	ether_hostton.3n
F ETHER_LI.3N;1                     	ether_line.3n
F ETHER_NT.000;1                    	ether_ntoa.3n
F ETHER_NT.3N;1                     	ether_ntohost.3n
F EXC_BOUN.3L;1                     	exc_bound.3l
F EXC_HAND.3L;1                     	exc_handle.3l
F EXC_NOTI.3L;1                     	exc_notify.3l
F EXC_ON_E.3L;1                     	exc_on_exit.3l
F EXC_RAIS.3L;1                     	exc_raise.3l
F EXC_UNHA.3L;1                     	exc_unhandle.3l
F EXC_UNIQ.3L;1                     	exc_uniqpatt.3l
F EXECL.3V;1                        	execl.3v
F EXECLE.3V;1                       	execle.3v
F EXECLP.3V;1                       	execlp.3v
F EXECV.3V;1                        	execv.3v
F EXECVP.3V;1                       	execvp.3v
F EXIT.3;1                          	exit.3
F EXP.3M;1                          	exp.3m
F EXP10.3M;1                        	exp10.3m
F EXP2.3M;1                         	exp2.3m
F EXPM1.3M;1                        	expm1.3m
F EXPORTEN.3;1                      	exportent.3
F EXTENDED.3;1                      	extended_to_decimal.3
F FABS.3M;1                         	fabs.3m
F FCLOSE.3V;1                       	fclose.3v
F FCONVERT.3;1                      	fconvert.3
F FCVT.3;1                          	fcvt.3
F FDOPEN.3S;1                       	fdopen.3s
F FDOPEN.3V;1                       	fdopen.3v
F FEOF.3S;1                         	feof.3s
F FEOF.3V;1                         	feof.3v
F FERROR.3S;1                       	ferror.3s
F FERROR.3V;1                       	ferror.3v
F FETCH.3X;1                        	fetch.3x
F FFLUSH.3S;1                       	fflush.3s
F FFLUSH.3V;1                       	fflush.3v
F FFS.3;1                           	ffs.3
F FGETC.3S;1                        	fgetc.3s
F FGETC.3V;1                        	fgetc.3v
F FGETGRAE.3;1                      	fgetgraent.3
F FGETGREN.3V;1                     	fgetgrent.3v
F FGETPWAE.3;1                      	fgetpwaent.3
F FGETPWEN.3;1                      	fgetpwent.3
F FGETPWEN.3V;1                     	fgetpwent.3v
F FGETS.3S;1                        	fgets.3s
F FILE.3;1                          	file.3
F FILENO.3S;1                       	fileno.3s
F FILENO.3V;1                       	fileno.3v
F FILE_TO_.3;1                      	file_to_decimal.3
F FINITE.3M;1                       	finite.3m
F FIRSTKEY.3X;1                     	firstkey.3x
F FIXTERM.3V;1                      	fixterm.3v
F FLASH.3V;1                        	flash.3v
F FLOATING.000;1                    	floating_to_decimal.3
F FLOATING.3;1                      	floatingpoint.3
F FLOOR.3M;1                        	floor.3m
F FLUSHINP.3V;1                     	flushinp.3v
F FMOD.3M;1                         	fmod.3m
F FOPEN.3S;1                        	fopen.3s
F FOPEN.3V;1                        	fopen.3v
F FPRINTF.3S;1                      	fprintf.3s
F FPRINTF.3V;1                      	fprintf.3v
F FPUTC.3S;1                        	fputc.3s
F FPUTS.3S;1                        	fputs.3s
F FP_CLASS.3M;1                     	fp_class.3m
F FREAD.3S;1                        	fread.3s
F FREE.3;1                          	free.3
F FREOPEN.3S;1                      	freopen.3s
F FREOPEN.3V;1                      	freopen.3v
F FREXP.3M;1                        	frexp.3m
F FSCANF.3S;1                       	fscanf.3s
F FSCANF.3V;1                       	fscanf.3v
F FSEEK.3S;1                        	fseek.3s
F FTELL.3S;1                        	ftell.3s
F FTIME.3C;1                        	ftime.3c
F FTIME.3V;1                        	ftime.3v
F FTOK.3;1                          	ftok.3
F FTW.3;1                           	ftw.3
F FUNC_TO_.3;1                      	func_to_decimal.3
F FWRITE.3S;1                       	fwrite.3s
F GAMMA.3M;1                        	gamma.3m
F GCD.3X;1                          	gcd.3x
F GCONVERT.3;1                      	gconvert.3
F GCVT.3;1                          	gcvt.3
F GET.3;1                           	get.3
F GET.3R;1                          	get.3r
F GETACDIR.3;1                      	getacdir.3
F GETACFLG.3;1                      	getacflg.3
F GETACINF.3;1                      	getacinfo.3
F GETACMIN.3;1                      	getacmin.3
F GETAUDIT.000;1                    	getauditflags.3
F GETAUDIT.001;1                    	getauditflagsbin.3
F GETAUDIT.3;1                      	getauditflagschar.3
F GETC.3S;1                         	getc.3s
F GETC.3V;1                         	getc.3v
F GETCAP.3X;1                       	getcap.3x
F GETCH.3V;1                        	getch.3v
F GETCH.3X;1                        	getch.3x
F GETCHAR.3S;1                      	getchar.3s
F GETCHAR.3V;1                      	getchar.3v
F GETCWD.3V;1                       	getcwd.3v
F GETENV.3V;1                       	getenv.3v
F GETEXPOR.000;1                    	getexportent.3
F GETEXPOR.3;1                      	getexportopt.3
F GETFAUDF.3;1                      	getfaudflgs.3
F GETFAUDI.3;1                      	getfauditflags.3
F GETFSENT.3;1                      	getfsent.3
F GETFSFIL.3;1                      	getfsfile.3
F GETFSSPE.3;1                      	getfsspec.3
F GETFSTYP.3;1                      	getfstype.3
F GETGRAEN.3;1                      	getgraent.3
F GETGRANA.3;1                      	getgranam.3
F GETGRENT.3V;1                     	getgrent.3v
F GETGRGID.3V;1                     	getgrgid.3v
F GETGRNAM.3V;1                     	getgrnam.3v
F GETHOSTB.000;1                    	gethostbyaddr.3n
F GETHOSTB.3N;1                     	gethostbyname.3n
F GETHOSTE.3N;1                     	gethostent.3n
F GETLOGIN.3V;1                     	getlogin.3v
F GETMNTEN.3;1                      	getmntent.3
F GETNETBY.000;1                    	getnetbyaddr.3n
F GETNETBY.3N;1                     	getnetbyname.3n
F GETNETEN.3N;1                     	getnetent.3n
F GETNETGR.3N;1                     	getnetgrent.3n
F GETNETNA.3N;1                     	getnetname.3n
F GETOPT.3;1                        	getopt.3
F GETPASS.3V;1                      	getpass.3v
F GETPROTO.000;1                    	getprotobyname.3n
F GETPROTO.001;1                    	getprotobynumber.3n
F GETPROTO.3N;1                     	getprotoent.3n
F GETPUBLI.3R;1                     	getpublickey.3r
F GETPW.3;1                         	getpw.3
F GETPWAEN.3;1                      	getpwaent.3
F GETPWANA.3;1                      	getpwanam.3
F GETPWENT.3V;1                     	getpwent.3v
F GETPWNAM.3V;1                     	getpwnam.3v
F GETPWUID.3V;1                     	getpwuid.3v
F GETRPCBY.000;1                    	getrpcbyname.3n
F GETRPCBY.3N;1                     	getrpcbynumber.3n
F GETRPCEN.3N;1                     	getrpcent.3n
F GETRPCPO.3R;1                     	getrpcport.3r
F GETS.3S;1                         	gets.3s
F GETSECRE.3R;1                     	getsecretkey.3r
F GETSERVB.000;1                    	getservbyname.3n
F GETSERVB.3N;1                     	getservbyport.3n
F GETSERVE.3N;1                     	getservent.3n
F GETSTR.3V;1                       	getstr.3v
F GETSTR.3X;1                       	getstr.3x
F GETSUBOP.3;1                      	getsubopt.3
F GETTEXT.3;1                       	gettext.3
F GETTMODE.3V;1                     	gettmode.3v
F GETTMODE.3X;1                     	gettmode.3x
F GETTTYEN.3;1                      	getttyent.3
F GETTTYNA.3;1                      	getttynam.3
F GETUSERS.3;1                      	getusershell.3
F GETW.3S;1                         	getw.3s
F GETW.3V;1                         	getw.3v
F GETWD.3;1                         	getwd.3
F GETYX.3V;1                        	getyx.3v
F GETYX.3X;1                        	getyx.3x
F GET_MYAD.3N;1                     	get_myaddress.3n
F GMTIME.3V;1                       	gmtime.3v
F GRPAUTH.3;1                       	grpauth.3
F GSIGNAL.3;1                       	gsignal.3
F GTTY.3C;1                         	gtty.3c
F HASMNTOP.3;1                      	hasmntopt.3
F HAS_IC.3V;1                       	has_ic.3v
F HAS_IL.3V;1                       	has_il.3v
F HAVEDISK.3R;1                     	havedisk.3r
F HCREATE.3;1                       	hcreate.3
F HDESTROY.3;1                      	hdestroy.3
F HOST2NET.3N;1                     	host2netname.3n
F HSEARCH.3;1                       	hsearch.3
F HTONL.3N;1                        	htonl.3n
F HTONS.3N;1                        	htons.3n
F HUGE.3M;1                         	HUGE.3m
F HUGE_VAL.3M;1                     	HUGE_VAL.3m
F HYPERBOL.3M;1                     	hyperbolic.3m
F HYPOT.3M;1                        	hypot.3m
F IDLOK.3V;1                        	idlok.3v
F IEEE_FLA.3M;1                     	ieee_flags.3m
F IEEE_FUN.3M;1                     	ieee_functions.3m
F IEEE_HAN.3M;1                     	ieee_handler.3m
F IEEE_TES.3M;1                     	ieee_test.3m
F IEEE_VAL.3M;1                     	ieee_values.3m
F ILOGB.3M;1                        	ilogb.3m
F INCH.3V;1                         	inch.3v
F INCH.3X;1                         	inch.3x
F INDEX.3;1                         	index.3
F INET.3N;1                         	inet.3n
F INET_ADD.3N;1                     	inet_addr.3n
F INET_LNA.3N;1                     	inet_lnaof.3n
F INET_MAK.3N;1                     	inet_makeaddr.3n
F INET_NET.000;1                    	inet_netof.3n
F INET_NET.3N;1                     	inet_network.3n
F INET_NTO.3N;1                     	inet_ntoa.3n
F INFINITY.3M;1                     	infinity.3m
F INITGROU.3;1                      	initgroups.3
F INITSCR.3V;1                      	initscr.3v
F INITSCR.3X;1                      	initscr.3x
F INITSTAT.3;1                      	initstate.3
F INNETGR.3N;1                      	innetgr.3n
F INSCH.3V;1                        	insch.3v
F INSCH.3X;1                        	insch.3x
F INSERTLN.3V;1                     	insertln.3v
F INSERTLN.3X;1                     	insertln.3x
F INSQUE.3;1                        	insque.3
F INTRFLUS.3V;1                     	intrflush.3v
F INTRO.000;1                       	Intro.3
F INTRO.001;1                       	Intro.3l
F INTRO.002;1                       	Intro.3m
F INTRO.003;1                       	Intro.3r
F INTRO.3;1                         	intro.3
F INTRO.3L;1                        	intro.3l
F INTRO.3M;1                        	intro.3m
F INTRO.3R;1                        	intro.3r
F IPALLOC.3R;1                      	ipalloc.3r
F IRINT.3M;1                        	irint.3m
F ISALNUM.3V;1                      	isalnum.3v
F ISALPHA.3V;1                      	isalpha.3v
F ISASCII.3V;1                      	isascii.3v
F ISATTY.3V;1                       	isatty.3v
F ISCNTRL.3V;1                      	iscntrl.3v
F ISDIGIT.3V;1                      	isdigit.3v
F ISGRAPH.3V;1                      	isgraph.3v
F ISINF.3M;1                        	isinf.3m
F ISLOWER.3V;1                      	islower.3v
F ISNAN.3M;1                        	isnan.3m
F ISNORMAL.3M;1                     	isnormal.3m
F ISPRINT.3V;1                      	isprint.3v
F ISPUNCT.3V;1                      	ispunct.3v
F ISSECURE.3;1                      	issecure.3
F ISSPACE.3V;1                      	isspace.3v
F ISSUBNOR.3M;1                     	issubnormal.3m
F ISUPPER.3V;1                      	isupper.3v
F ISXDIGIT.3V;1                     	isxdigit.3v
F ISZERO.3M;1                       	iszero.3m
F ITOM.3X;1                         	itom.3x
F J0.3M;1                           	j0.3m
F J1.3M;1                           	j1.3m
F JN.3M;1                           	jn.3m
F JRAND48.3;1                       	jrand48.3
F KEY.3R;1                          	key.3r
F KEYPAD.3V;1                       	keypad.3v
F KEY_DECR.3N;1                     	key_decryptsession.3n
F KEY_ENCR.3N;1                     	key_encryptsession.3n
F KEY_GEND.3N;1                     	key_gendes.3n
F KEY_SETS.3N;1                     	key_setsecret.3n
F KILLCHAR.3V;1                     	killchar.3v
F KLM_PROT.3R;1                     	klm_prot.3r
F KVM_CLOS.3K;1                     	kvm_close.3k
F KVM_GETC.3K;1                     	kvm_getcmd.3k
F KVM_GETP.3K;1                     	kvm_getproc.3k
F KVM_GETU.3K;1                     	kvm_getu.3k
F KVM_NEXT.3K;1                     	kvm_nextproc.3k
F KVM_NLIS.3K;1                     	kvm_nlist.3k
F KVM_OPEN.3K;1                     	kvm_open.3k
F KVM_READ.3K;1                     	kvm_read.3k
F KVM_SETP.3K;1                     	kvm_setproc.3k
F KVM_WRIT.3K;1                     	kvm_write.3k
F L3TOL.3C;1                        	l3tol.3c
F L64A.3;1                          	l64a.3
F LABEL.3X;1                        	label.3x
F LCONG48.3;1                       	lcong48.3
F LDACLOSE.3X;1                     	ldaclose.3x
F LDAHREAD.3X;1                     	ldahread.3x
F LDAOPEN.3X;1                      	ldaopen.3x
F LDCLOSE.3X;1                      	ldclose.3x
F LDEXP.3M;1                        	ldexp.3m
F LDFCN.3;1                         	ldfcn.3
F LDFHREAD.3X;1                     	ldfhread.3x
F LDGETNAM.3X;1                     	ldgetname.3x
F LDLINIT.3X;1                      	ldlinit.3x
F LDLITEM.3X;1                      	ldlitem.3x
F LDLREAD.3X;1                      	ldlread.3x
F LDLSEEK.3X;1                      	ldlseek.3x
F LDNLSEEK.3X;1                     	ldnlseek.3x
F LDNRSEEK.3X;1                     	ldnrseek.3x
F LDNSHREA.3X;1                     	ldnshread.3x
